fractal_dimension_worst,count
0.09464,1
0.09359,1
0.08284,1
0.07569,1
0.07782,1
0.07757,1
0.08052,1
0.07253,1
0.07592,1
0.08665,1
0.1049,1
0.09209,1
0.09031,1
0.07613,1
0.09671,1
0.08982,1
0.08557,1
0.08893,1
0.06954,1
0.07048,1
0.1109,1
0.06142,1
0.09879,1
0.1067,1
0.0723,1
0.1168,1
0.1364,1
0.07277,1
0.07538,1
0.1183,1
0.08549,1
0.08999,1
0.09445,1
0.08278,1
0.08351,1
0.1033,1
0.0997,1
0.124,1
0.0782,1
0.06637,1
0.07115,1
0.09873,1
0.1409,1
0.05905,1
0.08321,1
0.08732,1
0.08004,1
0.06969,1
0.06742,1
0.08283,1
0.07242,1
0.07393,1
0.06484,1
0.08032,1
0.06592,1
0.07626,1
0.0792,1
0.09479,1
0.07399,1
0.06953,1
0.08492,1
0.06443,1
0.06956,1
0.08134,1
0.1066,1
0.09938,1
0.07661,1
0.06599,1
0.09208,1
0.06788,1
0.07675,1
0.0733,1
0.0781,1
0.08194,1
0.06091,1
0.09952,1
0.07425,1
0.07463,1
0.07285,1
0.09075,1
0.08251,1
0.08225,1
0.06736,1
0.0681,1
0.07944,1
0.09532,1
0.0671,1
0.06911,1
0.07234,1
0.07735,1
0.06827,1
0.08314,1
0.08075,1
0.07007,1
0.1155,1
0.06025,1
0.07662,1
0.09646,1
0.08061,1
0.0722,1
0.06291,1
0.07429,1
0.07211,1
0.07028,1
0.07625,1
0.05871,1
0.08203,1
0.08024,1
0.09009,1
0.06596,1
0.1034,1
0.08181,1
0.0696,1
0.09326,1
0.07603,1
0.07729,1
0.0918,1
0.07698,1
0.07858,1
0.07802,1
0.108,1
0.06743,1
0.08273,1
0.06639,1
0.08524,1
0.0927,1
0.1224,1
0.07875,1
0.1249,1
0.06925,1
0.06464,1
0.0906,1
0.06922,1
0.05737,1
0.09584,1
0.08473,1
0.07552,1
0.06878,1
0.09382,1
0.07397,1
0.09353,1
0.08756,1
0.08988,1
0.07376,1
0.08234,1
0.06603,1
0.06206,1
0.06828,1
0.07246,1
0.09261,1
0.09097,1
0.09288,1
0.06846,1
0.08579,1
0.07924,1
0.09203,1
0.1051,1
0.1016,1
0.08851,1
0.09964,1
0.1108,1
0.07191,1
0.06387,1
0.07609,1
0.1405,1
0.07185,1
0.08118,1
0.06541,1
0.08158,1
0.06784,1
0.07147,1
0.06765,1
0.07343,1
0.08067,1
0.0761,1
0.07071,1
0.07619,1
0.08019,1
0.09241,1
0.08465,1
0.07779,1
0.079,1
0.09789,1
0.07182,1
0.07628,1
0.08006,1
0.08456,1
0.08523,1
0.06111,1
0.1065,1
0.08541,1
0.1017,1
0.1082,1
0.08486,1
0.08468,1
0.08832,1
0.1339,1
0.1084,1
0.06589,1
0.07259,1
0.1123,1
0.08482,1
0.1402,1
0.09782,1
0.07919,1
0.09876,1
0.07421,1
0.1275,1
0.09564,1
0.07526,1
0.09946,1
0.07773,1
0.08183,1
0.07615,1
0.0641,1
0.1142,1
0.08216,1
0.1341,1
0.1431,1
0.06287,1
0.08452,1
0.2075,1
0.1072,1
0.1151,1
0.1244,1
0.07678,1
0.173,1
0.08758,1
0.1233,1
0.1014,1
0.06169,1
0.05504,1
0.1175,1
0.06641,1
0.09211,1
0.08911,1
0.1031,1
0.1132,1
0.07712,1
0.0802,1
0.06289,1
0.1094,1
0.08294,1
0.07036,1
0.07873,1
0.07408,1
0.08025,1
0.06563,1
0.06917,1
0.08301,1
0.1179,1
0.07409,1
0.09185,1
0.09618,1
0.1027,1
0.1038,1
0.09606,1
0.07146,1
0.1071,1
0.08096,1
0.06769,1
0.08472,1
0.08178,1
0.06487,1
0.07849,1
0.08147,1
0.1178,1
0.07198,1
0.07748,1
0.07614,1
0.06321,1
0.0651,1
0.08496,1
0.07796,1
0.08677,1
0.07617,1
0.08328,1
0.07957,1
0.07307,1
0.07087,1
0.09061,1
0.1243,1
0.09585,1
0.08362,1
0.08269,1
0.06072,1
0.1064,1
0.08797,1
0.08177,1
0.08718,1
0.07568,1
0.08113,1
0.1005,1
0.1036,1
0.07948,1
0.08799,1
0.06994,1
0.07009,1
0.09981,1
0.06431,1
0.1063,1
0.07787,1
0.06688,1
0.0972,1
0.06912,1
0.06263,1
0.08902,1
0.06033,1
0.08175,1
0.1191,1
0.08858,1
0.08022,1
0.0612,1
0.07062,1
0.07024,1
0.07587,1
0.08218,1
0.0757,1
0.06829,1
0.07484,1
0.06515,1
0.07999,1
0.1204,1
0.08255,1
0.08365,1
0.1026,1
0.09187,1
0.09519,1
0.1162,1
0.07848,1
0.06164,1
0.07313,1
0.101,1
0.07371,1
0.06771,1
0.06428,1
0.093,1
0.07228,1
0.07699,1
0.06085,1
0.09082,1
0.06818,1
0.09223,1
0.06251,1
0.07685,1
0.07898,1
0.05972,1
0.08132,1
0.06772,1
0.1259,1
0.1486,1
0.06435,1
0.07014,1
0.07683,1
0.09218,1
0.05843,1
0.07319,1
0.08082,1
0.1284,1
0.05525,1
0.07993,1
0.05865,1
0.07474,1
0.1076,1
0.0738,1
0.0974,1
0.0875,1
0.1086,1
0.08762,1
0.07867,1
0.1013,1
0.09221,1
0.06558,1
0.09333,1
0.06949,1
0.1205,1
0.06559,1
0.06871,1
0.1446,1
0.06306,1
0.06576,1
0.07097,1
0.06938,1
0.07697,1
0.09772,1
0.08631,1
0.07039,1
id,count
842302,1
90250,1
901315,1
9013579,1
9013594,1
9013838,1
901549,1
901836,1
90251,1
9013005,1
902727,1
90291,1
902975,1
902976,1
903011,1
90312,1
901303,1
901288,1
903483,1
9010877,1
9010333,1
901034301,1
901034302,1
901041,1
9010598,1
9010872,1
901088,1
9012795,1
9011494,1
9011495,1
9011971,1
9012000,1
9012315,1
9012568,1
90317302,1
903507,1
8912521,1
906024,1
905539,1
905557,1
905680,1
905686,1
905978,1
90602302,1
906290,1
905502,1
906539,1
906564,1
906616,1
906878,1
907145,1
907367,1
905520,1
905501,1
903516,1
90439701,1
903554,1
903811,1
90401601,1
90401602,1
904302,1
904357,1
904647,1
90524101,1
904689,1
9047,1
904969,1
904971,1
905189,1
905190,1
901028,1
9010259,1
9010258,1
89382601,1
893061,1
89344,1
89346,1
893526,1
893548,1
893783,1
89382602,1
892657,1
893988,1
894047,1
894089,1
894090,1
894326,1
894329,1
89296,1
89263202,1
901011,1
891703,1
8913,1
8913049,1
89143601,1
89143602,1
8915,1
891670,1
891716,1
892604,1
891923,1
891936,1
892189,1
892214,1
892399,1
892438,1
894335,1
894604,1
894618,1
898678,1
89813,1
898143,1
89827,1
898431,1
89864002,1
898677,1
89869,1
894855,1
898690,1
899147,1
899187,1
899667,1
899987,1
9010018,1
89812,1
897880,1
897630,1
897604,1
89742801,1
897374,1
897137,1
897132,1
896864,1
896839,1
895633,1
8953902,1
895299,1
89524,1
89511502,1
89511501,1
895100,1
907409,1
90745,1
90769601,1
91805,1
917080,1
917092,1
91762702,1
91789,1
917896,1
917897,1
91813701,1
916838,1
91813702,1
918192,1
918465,1
91858,1
91903901,1
91903902,1
917062,1
916799,1
91485,1
91544002,1
91504,1
91505,1
915143,1
915186,1
915276,1
91544001,1
915452,1
916221,1
915460,1
91550,1
915664,1
915691,1
915940,1
91594602,1
91930402,1
919537,1
919555,1
925292,1
924632,1
924934,1
924964,1
925236,1
925277,1
925291,1
925311,1
91979701,1
925622,1
926125,1
926424,1
926682,1
926954,1
927241,1
924342,1
924084,1
923780,1
923748,1
923465,1
923169,1
922840,1
922577,1
922576,1
922297,1
922296,1
921644,1
921386,1
921385,1
921362,1
921092,1
919812,1
914862,1
914769,1
90769602,1
911202,1
911150,1
911157302,1
9111596,1
9111805,1
9111843,1
911201,1
9112085,1
9110732,1
9112366,1
9112367,1
9112594,1
9112712,1
911296201,1
911296202,1
9110944,1
9110720,1
914580,1
908916,1
907914,1
907915,1
908194,1
908445,1
908469,1
908489,1
909220,1
9110127,1
909231,1
909410,1
909411,1
909445,1
90944601,1
909777,1
9113156,1
911320501,1
911320502,1
913535,1
912558,1
912600,1
913063,1
913102,1
913505,1
913512,1
91376701,1
9113239,1
91376702,1
914062,1
914101,1
914102,1
914333,1
914366,1
912519,1
91227,1
912193,1
911916,1
911685,1
911673,1
911654,1
911408,1
911391,1
9113846,1
911384,1
9113816,1
9113778,1
911366,1
9113538,1
9113514,1
9113455,1
8912909,1
8912284,1
842517,1
862261,1
861799,1
861853,1
862009,1
862028,1
86208,1
86211,1
862485,1
861598,1
862548,1
862717,1
862722,1
862965,1
862980,1
862989,1
861648,1
861597,1
863031,1
8610908,1
859983,1
8610175,1
8610404,1
8610629,1
8610637,1
8610862,1
861103,1
86135502,1
8611161,1
8611555,1
8611792,1
8612080,1
8612399,1
86135501,1
863030,1
863270,1
8912280,1
867387,1
866203,1
866458,1
866674,1
866714,1
8670,1
86730502,1
867739,1
86561,1
868202,1
868223,1
868682,1
868826,1
868871,1
868999,1
866083,1
865468,1
86355,1
864685,1
864018,1
864033,1
86408,1
86409,1
864292,1
864496,1
864726,1
865432,1
864729,1
864877,1
865128,1
865137,1
86517,1
865423,1
859717,1
859711,1
859575,1
852763,1
8510653,1
8510824,1
8511133,1
851509,1
852552,1
852631,1
852781,1
849014,1
852973,1
853201,1
853401,1
853612,1
85382601,1
854002,1
8510426,1
84862001,1
859487,1
844981,1
84300903,1
84348301,1
84358402,1
843786,1
844359,1
84458202,1
84501001,1
848406,1
845636,1
84610002,1
846226,1
846381,1
84667401,1
84799002,1
854039,1
854253,1
854268,1
858981,1
85759902,1
857637,1
857793,1
857810,1
858477,1
858970,1
858986,1
854941,1
859196,1
85922302,1
859283,1
859464,1
859465,1
859471,1
857438,1
857392,1
857374,1
857373,1
857343,1
857156,1
857155,1
85715,1
85713702,1
857010,1
85638502,1
856106,1
855625,1
855563,1
855167,1
855138,1
855133,1
869104,1
869218,1
869224,1
88350402,1
882488,1
88249602,1
88299702,1
883263,1
883270,1
88330202,1
883539,1
88203002,1
883852,1
88411702,1
884180,1
884437,1
884448,1
884626,1
88206102,1
88199202,1
8810955,1
8812844,1
8811523,1
8811779,1
8811842,1
88119002,1
8812816,1
8812818,1
8812877,1
881972,1
8813129,1
88143502,1
88147101,1
88147102,1
88147202,1
881861,1
88466802,1
884689,1
884948,1
8911164,1
8910720,1
8910721,1
8910748,1
8910988,1
8910996,1
8911163,1
8911230,1
88518501,1
8911670,1
8911800,1
8911834,1
8912049,1
8912055,1
89122,1
8910506,1
8910499,1
8910251,1
88995002,1
889719,1
889403,1
888570,1
888264,1
887549,1
88725602,1
887181,1
886776,1
88649001,1
886452,1
886226,1
8860702,1
885429,1
8810987,1
881094802,1
869254,1
8712853,1
8712064,1
8712289,1
8712291,1
87127,1
8712729,1
8712766,1
87139402,1
8711803,1
87163,1
87164,1
871641,1
871642,1
872113,1
872608,1
871201,1
8711561,1
8810703,1
871001502,1
869476,1
869691,1
86973701,1
86973702,1
869931,1
871001501,1
8710441,1
871149,1
87106,1
8711002,1
8711003,1
8711202,1
8711216,1
871122,1
87281702,1
873357,1
873586,1
87930,1
877486,1
877500,1
877501,1
877989,1
878796,1
87880,1
879523,1
873592,1
879804,1
879830,1
8810158,1
8810436,1
881046502,1
8810528,1
877159,1
875938,1
875878,1
87556202,1
875263,1
875099,1
875093,1
874858,1
874839,1
874662,1
874373,1
874217,1
874158,1
873885,1
873843,1
873701,1
873593,1
92751,1
radius_mean,count
12.34,4
11.71,3
12.46,3
13.05,3
10.26,3
13.85,3
12.77,3
13.17,3
13.0,3
15.46,3
11.6,3
12.89,3
12.18,3
11.89,3
11.06,3
13.61,2
14.42,2
17.99,2
9.876,2
13.11,2
19.53,2
11.34,2
10.49,2
13.27,2
13.9,2
15.75,2
10.51,2
12.21,2
14.64,2
12.36,2
12.62,2
12.83,2
13.4,2
11.22,2
12.86,2
20.18,2
14.26,2
10.57,2
11.93,2
14.86,2
11.08,2
12.27,2
10.8,2
14.97,2
19.59,2
11.75,2
12.06,2
11.13,2
18.31,2
12.25,2
12.3,2
14.22,2
11.8,2
14.87,2
13.77,2
14.95,2
11.43,2
14.53,2
12.47,2
11.04,2
13.21,2
11.27,2
13.66,2
13.46,2
13.87,2
11.41,2
12.54,2
12.0,2
19.55,2
11.54,2
16.13,2
14.99,2
13.28,2
11.26,2
12.05,2
14.25,2
11.76,2
13.64,2
11.94,2
18.22,2
15.1,2
11.52,2
11.74,2
15.78,2
13.2,2
14.58,2
13.71,2
12.76,2
11.84,2
12.45,2
13.59,2
12.72,2
12.87,2
12.88,2
10.48,2
19.4,2
9.742,2
21.61,1
12.1,1
20.34,1
15.49,1
12.2,1
8.734,1
13.88,1
20.16,1
10.25,1
15.08,1
14.06,1
12.96,1
11.7,1
12.85,1
16.14,1
10.94,1
14.61,1
12.94,1
17.91,1
13.51,1
8.597,1
12.49,1
14.6,1
12.8,1
9.042,1
12.43,1
12.67,1
16.03,1
12.39,1
16.35,1
21.71,1
20.2,1
19.68,1
14.76,1
20.44,1
11.47,1
9.397,1
11.95,1
16.5,1
11.66,1
13.3,1
9.436,1
8.878,1
25.73,1
12.56,1
22.01,1
9.606,1
14.11,1
23.51,1
12.03,1
16.27,1
16.26,1
11.14,1
12.98,1
16.17,1
13.69,1
11.25,1
20.64,1
17.06,1
12.99,1
21.37,1
18.77,1
15.19,1
10.05,1
11.36,1
11.99,1
15.13,1
12.75,1
10.96,1
20.47,1
13.68,1
11.67,1
12.07,1
13.94,1
8.571,1
9.847,1
24.63,1
9.295,1
19.89,1
14.27,1
15.05,1
14.81,1
16.3,1
12.22,1
9.676,1
9.268,1
23.09,1
13.82,1
15.04,1
20.59,1
20.55,1
11.69,1
12.65,1
9.423,1
20.6,1
16.6,1
20.13,1
21.56,1
20.92,1
15.22,1
11.2,1
14.05,1
11.51,1
14.59,1
10.16,1
7.729,1
10.29,1
9.333,1
10.86,1
10.82,1
9.683,1
10.32,1
13.62,1
14.74,1
14.47,1
7.691,1
18.49,1
13.16,1
9.405,1
14.04,1
11.87,1
21.1,1
14.8,1
17.75,1
9.0,1
18.03,1
13.78,1
17.27,1
10.97,1
14.02,1
13.98,1
11.63,1
18.82,1
12.4,1
14.9,1
10.03,1
11.61,1
14.69,1
11.57,1
11.16,1
12.7,1
15.5,1
13.38,1
9.755,1
18.01,1
14.2,1
17.85,1
16.69,1
11.68,1
19.44,1
15.73,1
13.7,1
13.47,1
12.16,1
16.25,1
11.49,1
10.88,1
17.08,1
14.92,1
12.04,1
9.667,1
11.62,1
17.6,1
9.668,1
13.14,1
13.24,1
14.4,1
27.42,1
13.5,1
19.73,1
11.46,1
18.46,1
6.981,1
9.787,1
20.26,1
15.06,1
13.45,1
15.37,1
14.62,1
19.02,1
14.48,1
19.1,1
22.27,1
25.22,1
13.34,1
11.45,1
18.05,1
13.53,1
16.07,1
12.31,1
13.8,1
17.2,1
11.64,1
9.777,1
8.219,1
16.16,1
14.44,1
11.9,1
10.75,1
12.9,1
16.11,1
9.738,1
11.28,1
18.45,1
15.71,1
12.19,1
12.63,1
19.79,1
19.0,1
13.37,1
14.5,1
24.25,1
18.66,1
17.95,1
8.95,1
8.726,1
8.888,1
18.94,1
12.78,1
19.81,1
15.3,1
18.61,1
17.14,1
16.65,1
21.16,1
15.34,1
9.504,1
13.08,1
13.54,1
14.68,1
9.029,1
14.54,1
13.73,1
15.85,1
19.17,1
16.02,1
18.25,1
20.29,1
11.42,1
19.69,1
17.57,1
18.63,1
17.02,1
19.27,1
11.31,1
9.465,1
14.78,1
12.68,1
9.173,1
8.598,1
10.17,1
8.618,1
14.71,1
19.21,1
13.49,1
8.196,1
18.65,1
19.07,1
10.95,1
13.44,1
13.48,1
13.03,1
16.74,1
13.74,1
9.731,1
20.09,1
13.75,1
15.66,1
15.32,1
13.96,1
19.45,1
17.3,1
20.57,1
11.5,1
20.94,1
10.65,1
11.3,1
20.31,1
12.42,1
17.46,1
20.48,1
23.21,1
14.03,1
9.567,1
20.51,1
11.32,1
17.05,1
15.53,1
17.35,1
11.15,1
18.81,1
10.91,1
11.85,1
12.95,1
14.96,1
14.41,1
11.37,1
12.58,1
16.24,1
19.16,1
11.33,1
17.29,1
17.93,1
21.75,1
11.29,1
14.29,1
10.71,1
10.6,1
20.73,1
17.19,1
15.61,1
15.0,1
10.44,1
14.34,1
10.66,1
15.28,1
15.7,1
21.09,1
27.22,1
12.81,1
13.01,1
16.46,1
9.904,1
8.671,1
13.43,1
10.18,1
12.32,1
17.47,1
16.78,1
23.27,1
19.19,1
10.9,1
16.84,1
17.68,1
13.15,1
10.08,1
11.81,1
9.72,1
12.91,1
13.56,1
13.65,1
19.8,1
10.2,1
13.86,1
14.19,1
17.42,1
28.11,1
20.58,1
15.27,1
17.01,1
15.12,1
13.81,1
23.29,1
17.54,1
12.23,1
14.45,1
19.18,1
18.08,1
7.76,1
texture_mean,count
20.52,3
16.85,3
16.84,3
19.83,3
14.93,3
17.46,3
18.9,3
15.7,3
18.22,3
20.22,2
17.27,2
27.15,2
18.29,2
21.84,2
18.6,2
17.84,2
16.33,2
17.48,2
20.26,2
19.34,2
18.32,2
18.59,2
21.46,2
19.07,2
23.97,2
13.9,2
19.65,2
22.44,2
15.79,2
17.53,2
21.68,2
14.96,2
23.21,2
23.29,2
20.76,2
19.04,2
16.17,2
12.96,2
16.95,2
20.74,2
15.34,2
20.7,2
14.71,2
15.15,2
15.18,2
18.77,2
16.58,2
13.98,2
17.31,2
18.89,2
17.57,2
16.62,2
21.54,2
19.54,2
16.07,2
16.39,2
20.2,2
17.12,2
25.42,2
16.67,2
21.41,2
15.51,2
22.22,2
18.7,2
18.18,2
21.53,2
21.59,2
24.49,2
18.61,2
16.21,2
19.86,2
20.13,2
21.6,2
18.17,2
23.95,2
22.15,2
20.25,2
21.25,2
19.98,2
18.75,2
16.02,2
15.1,1
15.82,1
10.91,1
17.35,1
14.09,1
13.21,1
18.16,1
28.21,1
18.83,1
22.72,1
19.1,1
13.72,1
21.02,1
13.78,1
16.16,1
13.27,1
15.5,1
19.89,1
17.26,1
12.22,1
19.97,1
14.4,1
22.28,1
14.83,1
23.09,1
17.72,1
17.18,1
18.14,1
12.35,1
23.86,1
16.54,1
12.71,1
13.84,1
15.49,1
12.88,1
17.93,1
14.07,1
25.74,1
19.22,1
14.95,1
17.07,1
16.03,1
20.71,1
14.74,1
21.88,1
19.35,1
14.78,1
19.02,1
15.45,1
21.0,1
14.23,1
21.43,1
17.3,1
18.07,1
21.57,1
18.02,1
24.27,1
19.11,1
15.69,1
13.37,1
21.9,1
10.72,1
17.25,1
14.08,1
18.87,1
15.21,1
26.83,1
17.0,1
21.78,1
16.18,1
19.66,1
13.32,1
18.84,1
21.51,1
10.38,1
19.12,1
14.86,1
13.66,1
20.67,1
20.02,1
17.56,1
13.44,1
13.17,1
12.27,1
13.1,1
15.68,1
18.68,1
16.7,1
20.58,1
14.7,1
20.86,1
14.69,1
20.04,1
13.14,1
12.87,1
16.32,1
16.74,1
21.24,1
17.52,1
20.21,1
20.54,1
12.83,1
17.62,1
22.55,1
13.23,1
27.61,1
29.33,1
28.08,1
28.25,1
22.39,1
25.09,1
30.62,1
29.37,1
23.93,1
22.68,1
27.88,1
19.59,1
28.92,1
24.44,1
21.94,1
29.43,1
21.48,1
24.21,1
16.35,1
23.23,1
28.06,1
24.99,1
14.44,1
25.44,1
25.49,1
20.56,1
18.82,1
21.37,1
21.98,1
24.89,1
17.2,1
15.66,1
19.6,1
15.98,1
19.62,1
16.94,1
21.97,1
17.68,1
22.53,1
17.67,1
14.98,1
17.66,1
21.28,1
19.13,1
12.17,1
21.08,1
21.7,1
21.17,1
29.81,1
22.11,1
16.83,1
17.92,1
20.66,1
28.03,1
25.0,1
16.41,1
28.14,1
11.28,1
17.64,1
14.06,1
19.24,1
18.03,1
19.51,1
14.59,1
20.53,1
15.73,1
15.62,1
29.97,1
18.49,1
28.23,1
23.33,1
18.1,1
18.36,1
26.99,1
26.27,1
28.2,1
25.13,1
25.25,1
29.29,1
30.72,1
17.15,1
19.73,1
19.82,1
19.96,1
21.31,1
24.98,1
19.77,1
12.84,1
19.94,1
23.03,1
18.3,1
14.76,1
22.76,1
24.02,1
15.24,1
21.8,1
24.59,1
18.52,1
15.65,1
26.29,1
24.91,1
15.86,1
20.97,1
18.0,1
16.15,1
10.94,1
16.52,1
24.52,1
13.43,1
19.4,1
19.29,1
10.89,1
15.39,1
22.47,1
21.91,1
13.93,1
19.48,1
13.29,1
25.12,1
18.91,1
24.69,1
17.21,1
10.82,1
15.56,1
20.01,1
22.91,1
15.76,1
15.83,1
20.19,1
16.99,1
21.26,1
19.67,1
18.54,1
18.33,1
14.64,1
16.49,1
13.12,1
17.33,1
26.47,1
23.98,1
25.11,1
15.05,1
25.27,1
16.4,1
21.38,1
23.04,1
14.26,1
12.44,1
15.71,1
14.36,1
20.68,1
27.54,1
22.61,1
24.8,1
17.89,1
23.24,1
24.04,1
21.82,1
20.83,1
14.34,1
20.38,1
17.88,1
21.72,1
18.42,1
18.24,1
21.01,1
23.94,1
23.84,1
13.86,1
20.98,1
14.88,1
11.79,1
19.31,1
18.57,1
22.02,1
16.34,1
25.2,1
22.3,1
14.63,1
18.66,1
17.6,1
21.81,1
20.28,1
24.81,1
21.35,1
21.58,1
20.82,1
13.39,1
11.97,1
18.05,1
15.92,1
23.56,1
25.22,1
14.11,1
17.43,1
23.5,1
23.77,1
18.19,1
15.04,1
15.6,1
39.28,1
27.85,1
26.97,1
15.91,1
27.81,1
33.81,1
27.08,1
19.08,1
22.33,1
15.46,1
13.47,1
17.02,1
13.16,1
32.47,1
18.45,1
17.77,1
17.08,1
20.39,1
18.4,1
14.02,1
26.6,1
14.16,1
17.36,1
24.48,1
15.67,1
20.99,1
13.04,1
16.82,1
18.95,1
19.33,1
31.12,1
22.07,1
19.38,1
22.13,1
23.06,1
27.06,1
33.56,1
23.2,1
28.77,1
17.05,1
21.56,1
18.35,1
16.93,1
22.04,1
20.11,1
18.06,1
14.45,1
11.89,1
19.63,1
12.39,1
24.68,1
18.8,1
9.71,1
19.76,1
18.15,1
21.87,1
15.94,1
20.18,1
12.74,1
19.46,1
17.94,1
13.08,1
20.78,1
17.91,1
14.65,1
14.97,1
13.06,1
26.57,1
23.81,1
19.56,1
25.56,1
18.47,1
18.94,1
22.14,1
12.91,1
22.54,1
16.68,1
23.75,1
26.67,1
19.32,1
22.49,1
20.31,1
22.29,1
26.86,1
23.12,1
15.9,1
17.39,1
17.19,1
18.58,1
15.11,1
22.41,1
14.92,1
24.54,1
perimeter_mean,count
82.61,3
87.76,3
134.7,3
93.97,2
82.69,2
120.2,2
107.1,2
79.19,2
114.2,2
58.79,2
71.49,2
70.79,2
73.34,2
97.26,2
87.21,2
74.72,2
85.98,2
123.7,2
137.8,2
129.1,2
113.4,2
81.35,2
94.25,2
88.73,2
133.8,2
61.49,2
70.67,2
88.37,2
78.83,2
78.29,2
67.49,2
109.3,2
117.4,2
152.1,2
87.32,2
130.7,2
81.25,2
84.08,2
132.9,2
102.4,2
102.5,2
132.4,2
130.0,2
103.7,2
73.38,1
73.59,1
73.16,1
78.78,1
85.79,1
66.86,1
80.64,1
78.75,1
74.23,1
85.89,1
73.3,1
88.27,1
65.75,1
70.15,1
106.3,1
87.84,1
134.8,1
84.07,1
141.3,1
97.65,1
109.0,1
147.2,1
128.9,1
55.27,1
78.31,1
144.4,1
96.71,1
75.0,1
97.53,1
59.75,1
91.22,1
70.92,1
72.49,1
78.41,1
117.8,1
82.63,1
66.85,1
104.3,1
70.39,1
129.5,1
83.18,1
84.18,1
76.14,1
124.4,1
75.26,1
70.31,1
83.05,1
88.1,1
89.75,1
78.07,1
80.43,1
140.9,1
85.48,1
133.7,1
66.52,1
118.7,1
75.03,1
129.9,1
61.64,1
94.15,1
155.1,1
64.41,1
60.07,1
78.6,1
122.9,1
111.8,1
131.1,1
90.03,1
77.88,1
71.38,1
82.82,1
71.94,1
135.9,1
84.52,1
78.01,1
105.8,1
107.5,1
106.9,1
76.09,1
66.2,1
76.66,1
94.87,1
77.25,1
106.6,1
81.87,1
85.24,1
79.42,1
59.82,1
56.74,1
88.52,1
85.09,1
56.36,1
85.69,1
81.92,1
82.71,1
74.33,1
71.24,1
92.68,1
76.39,1
174.2,1
82.29,1
73.73,1
73.7,1
54.09,1
77.23,1
73.02,1
98.0,1
122.8,1
59.6,1
94.29,1
90.31,1
78.94,1
87.44,1
54.53,1
63.0,1
71.3,1
165.5,1
59.96,1
82.51,1
84.45,1
130.5,1
120.8,1
72.76,1
88.64,1
75.89,1
94.66,1
76.31,1
103.8,1
104.7,1
71.25,1
79.47,1
64.12,1
92.33,1
98.73,1
121.3,1
80.45,1
96.12,1
84.06,1
77.83,1
75.21,1
102.9,1
59.01,1
140.1,1
108.3,1
131.2,1
142.0,1
143.0,1
103.4,1
91.38,1
74.52,1
96.39,1
59.26,1
64.73,1
65.67,1
82.5,1
68.51,1
93.77,1
68.89,1
61.05,1
65.85,1
65.31,1
87.19,1
89.77,1
84.88,1
94.7,1
95.81,1
74.65,1
48.34,1
47.98,1
76.37,1
118.4,1
114.6,1
78.18,1
94.89,1
138.1,1
95.88,1
117.3,1
77.61,1
117.5,1
66.82,1
112.4,1
71.73,1
89.59,1
88.68,1
89.78,1
82.67,1
91.12,1
81.47,1
75.49,1
102.1,1
80.98,1
70.47,1
88.06,1
68.79,1
63.19,1
61.93,1
89.46,1
75.46,1
98.22,1
74.2,1
70.95,1
80.88,1
76.83,1
127.7,1
76.77,1
93.86,1
128.1,1
94.21,1
82.85,1
102.8,1
109.8,1
73.99,1
88.97,1
92.41,1
82.89,1
70.41,1
77.42,1
